2024-05-08 12:48:09,962 INFO    StreamThr :25144 [internal.py:wandb_internal():86] W&B internal server running at pid: 25144, started at: 2024-05-08 12:48:09.962136
2024-05-08 12:48:09,971 DEBUG   HandlerThread:25144 [handler.py:handle_request():146] handle_request: status
2024-05-08 12:48:09,971 INFO    WriterThread:25144 [datastore.py:open_for_write():85] open: C:\Users\strel\OneDrive\Desktop\Politehnica_Bucharest\1st year\Semester 2\Projet NLP\TAP\wandb\run-20240508_124809-q2kpdlnc\run-q2kpdlnc.wandb
2024-05-08 12:48:09,971 DEBUG   SenderThread:25144 [sender.py:send():382] send: header
2024-05-08 12:48:10,031 DEBUG   SenderThread:25144 [sender.py:send():382] send: run
2024-05-08 12:48:11,078 INFO    SenderThread:25144 [dir_watcher.py:__init__():211] watching files in: C:\Users\strel\OneDrive\Desktop\Politehnica_Bucharest\1st year\Semester 2\Projet NLP\TAP\wandb\run-20240508_124809-q2kpdlnc\files
2024-05-08 12:48:11,078 INFO    SenderThread:25144 [sender.py:_start_run_threads():1136] run started: q2kpdlnc with start time 1715161689.962136
2024-05-08 12:48:11,097 DEBUG   HandlerThread:25144 [handler.py:handle_request():146] handle_request: check_version
2024-05-08 12:48:11,097 DEBUG   SenderThread:25144 [sender.py:send_request():409] send_request: check_version
2024-05-08 12:48:11,901 DEBUG   HandlerThread:25144 [handler.py:handle_request():146] handle_request: run_start
2024-05-08 12:48:11,968 DEBUG   HandlerThread:25144 [system_info.py:__init__():32] System info init
2024-05-08 12:48:11,968 DEBUG   HandlerThread:25144 [system_info.py:__init__():47] System info init done
2024-05-08 12:48:11,968 INFO    HandlerThread:25144 [system_monitor.py:start():194] Starting system monitor
2024-05-08 12:48:11,969 INFO    SystemMonitor:25144 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-08 12:48:11,969 INFO    HandlerThread:25144 [system_monitor.py:probe():214] Collecting system info
2024-05-08 12:48:11,982 INFO    SystemMonitor:25144 [interfaces.py:start():190] Started cpu monitoring
2024-05-08 12:48:11,984 INFO    SystemMonitor:25144 [interfaces.py:start():190] Started disk monitoring
2024-05-08 12:48:11,985 INFO    SystemMonitor:25144 [interfaces.py:start():190] Started gpu monitoring
2024-05-08 12:48:11,987 INFO    SystemMonitor:25144 [interfaces.py:start():190] Started memory monitoring
2024-05-08 12:48:12,018 INFO    SystemMonitor:25144 [interfaces.py:start():190] Started network monitoring
2024-05-08 12:48:12,018 DEBUG   HandlerThread:25144 [system_info.py:probe():196] Probing system
2024-05-08 12:48:12,023 DEBUG   HandlerThread:25144 [system_info.py:_probe_git():181] Probing git
2024-05-08 12:48:12,185 DEBUG   HandlerThread:25144 [system_info.py:_probe_git():189] Probing git done
2024-05-08 12:48:12,185 DEBUG   HandlerThread:25144 [system_info.py:probe():244] Probing system done
