2024-05-08 12:28:53,434 INFO    StreamThr :7620 [internal.py:wandb_internal():86] W&B internal server running at pid: 7620, started at: 2024-05-08 12:28:53.434599
2024-05-08 12:28:53,436 DEBUG   HandlerThread:7620 [handler.py:handle_request():146] handle_request: status
2024-05-08 12:28:53,442 INFO    WriterThread:7620 [datastore.py:open_for_write():85] open: C:\Users\strel\OneDrive\Desktop\Politehnica_Bucharest\1st year\Semester 2\Projet NLP\TAP\wandb\run-20240508_122853-mj7xkxwz\run-mj7xkxwz.wandb
2024-05-08 12:28:53,442 DEBUG   SenderThread:7620 [sender.py:send():382] send: header
2024-05-08 12:28:53,517 DEBUG   SenderThread:7620 [sender.py:send():382] send: run
2024-05-08 12:28:54,564 INFO    SenderThread:7620 [dir_watcher.py:__init__():211] watching files in: C:\Users\strel\OneDrive\Desktop\Politehnica_Bucharest\1st year\Semester 2\Projet NLP\TAP\wandb\run-20240508_122853-mj7xkxwz\files
2024-05-08 12:28:54,564 INFO    SenderThread:7620 [sender.py:_start_run_threads():1136] run started: mj7xkxwz with start time 1715160533.435622
2024-05-08 12:28:54,577 DEBUG   HandlerThread:7620 [handler.py:handle_request():146] handle_request: check_version
2024-05-08 12:28:54,577 DEBUG   SenderThread:7620 [sender.py:send_request():409] send_request: check_version
2024-05-08 12:28:55,377 DEBUG   HandlerThread:7620 [handler.py:handle_request():146] handle_request: run_start
2024-05-08 12:28:55,414 DEBUG   HandlerThread:7620 [system_info.py:__init__():32] System info init
2024-05-08 12:28:55,414 DEBUG   HandlerThread:7620 [system_info.py:__init__():47] System info init done
2024-05-08 12:28:55,415 INFO    HandlerThread:7620 [system_monitor.py:start():194] Starting system monitor
2024-05-08 12:28:55,415 INFO    SystemMonitor:7620 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-08 12:28:55,415 INFO    HandlerThread:7620 [system_monitor.py:probe():214] Collecting system info
2024-05-08 12:28:55,420 INFO    SystemMonitor:7620 [interfaces.py:start():190] Started cpu monitoring
2024-05-08 12:28:55,420 INFO    SystemMonitor:7620 [interfaces.py:start():190] Started disk monitoring
2024-05-08 12:28:55,421 INFO    SystemMonitor:7620 [interfaces.py:start():190] Started gpu monitoring
2024-05-08 12:28:55,422 INFO    SystemMonitor:7620 [interfaces.py:start():190] Started memory monitoring
2024-05-08 12:28:55,437 INFO    SystemMonitor:7620 [interfaces.py:start():190] Started network monitoring
